Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2025-02-08 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,39.45,OK,31.29,OK
2025-02-08 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,46.07,OK,16.32,OK
2025-02-08 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,46.8,OK,19.93,OK
2025-02-08 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,21.25,OK,12.48,OK
2025-02-08 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,34.18,OK,10.72,OK
2025-02-08 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,7.93,OK,-0.57,BDL
2025-02-08 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,8.04,OK,-9.29,OR
2025-02-08 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.71,OK,-10.55,OR
2025-02-08 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-1.13,BDL,-9.26,OR
2025-02-08 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,12.42,OK,4.5,OK
2025-02-08 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,7.6,OK,19.92,OK
2025-02-08 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,37.09,OK,20.64,OK
2025-02-08 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,32.7,OK,41.48,OK
2025-02-08 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,25.07,OK,25.98,OK
2025-02-08 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,25.74,OK,12.83,OK
2025-02-08 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.82,OK,17.57,OK
2025-02-09 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.66,OK,29.64,OK
2025-02-09 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,37.76,OK,18.07,OK
2025-02-09 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,39.74,OK,17.42,OK
2025-02-09 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.22,OK,7.12,OK
2025-02-09 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.94,OK,11.17,OK
2025-02-09 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.92,OK,13.32,OK
2025-02-09 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.66,OK,21.24,OK
2025-02-09 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.2,OK,23.96,OK
2025-02-09 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,25.68,OK,17.8,OK
2025-02-09 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.26,OK,9.52,OK
2025-02-09 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,29.23,OK,10.0,OK
2025-02-09 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,34.93,OK,19.15,OK
2025-02-09 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.07,OK,18.8,OK
2025-02-09 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.36,OK,18.28,OK
2025-02-09 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.94,OK,8.07,OK
2025-02-09 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.52,OK,13.97,OK
2025-02-09 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,14.5,OK,-4.46,OR
2025-02-09 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.84,OK,17.13,OK
2025-02-09 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,33.88,OK,24.55,OK
2025-02-09 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,64.53,OK,40.71,OK
2025-02-09 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,52.98,OK,49.82,OK
2025-02-09 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,39.25,OK,30.24,OK
2025-02-09 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,47.07,OK,21.75,OK
2025-02-09 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,39.54,OK,25.89,OK
2025-02-10 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.05,OK,26.61,OK
2025-02-10 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,18.44,OK,13.98,OK
2025-02-10 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,9.37,OK,19.07,OK
2025-02-10 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.48,OK,13.53,OK
2025-02-10 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.21,OK,14.66,OK
2025-02-10 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.41,OK,12.51,OK
2025-02-10 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,33.17,OK,764.25,OR
2025-02-10 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.84,OK,237.01,OK
2025-02-10 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,55.53,OK,-35.46,OR
2025-02-10 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,28.12,OK,-691.17,OR
2025-02-10 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,80.44,OK,12.76,OK
2025-02-10 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,34.34,OK,12.71,OK
2025-02-10 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,21.81,OK,14.51,OK
2025-02-10 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.12,OK,-2.61,BDL
2025-02-10 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,2.6,BDL,-0.27,BDL
2025-02-10 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,11.39,OK,-6.59,OR
2025-02-10 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,14.75,OK,13.23,OK
2025-02-10 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.18,OK,-2.49,BDL
2025-02-10 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.59,OK,36.63,OK
2025-02-10 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,42.01,OK,37.88,OK
2025-02-10 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,48.91,OK,38.21,OK
2025-02-10 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,37.27,OK,37.66,OK
2025-02-10 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.69,OK,33.4,OK
